number,rank,title,recruitment,recruitment_bin,postedresults,resultsarrived_bin,conditions,intervention.merge,phase2,enrollment,gender,fund_source_grp,interventionmodel,randomized,purpose,yearreceived,yearstart,primarylength,intervention.model,phase,masking,testing,masking2,enrollment.log,enrollment.log.cut
4152,9042,safety and efficacy of sofosbuvir plus velpatasvir with or without ribavirin in treatment-experienced subjects with chronic hcv infection,Completed,4,1,1,Hepatitis C,drug or biologic,Early,323,All,Industry&Combos,1,0,0,2013,2013,334,1,Phase 2,0,safety/efficacy,0,5.777652323222656,"(5,6]"
2179,2643,study of promethazine for treatment of diabetic gastroparesis,Terminated,5,1,1,Diabetic Gastroparesis,drug or biologic,Early,3,All,AllOther,1,0,0,2014,2014,317,1,Phase 2,4,NA,2,1.0986122886681098,"(1,2]"
2296,2876,"ease of use, tolerability, efficacy and safety of the vibrant capsule administered in the home environment",Withdrawn,7,0,0,Constipation,device,Others,NA,All,Industry&Combos,0,NA,0,2016,2016,182,0,Others,1,safety/efficacy,1,NA,NA
2608,3506,comparing the effectiveness of two dietary interventions for fecal incontinence,Completed,4,0,0,Fecal Incontinence,other,Others,40,All,AllOther,1,0,0,2016,2014,1703,1,Others,1,NA,1,3.6888794541139363,"(3,4]"
2671,3581,a study of bemarituzumab (fpa144) combined with modified folfox6 (mfolfox6) in gastric/gastroesophageal junction cancer (fight),"Active, not recruiting",1,0,0,Gastric Cancer,drug or biologic,Early,155,All,Industry&Combos,1,0,0,2018,2018,740,1,Phase 2,2,NA,2,5.043425116919247,"(5,6]"
3191,4416,capecitabine in metastatic breast and gi cancers,Recruiting,2,0,0,Breast Cancer|Gastrointestinal Cancer,drug or biologic,Early,200,All,AllOther,1,0,0,2015,2015,1888,1,Phase 2,0,NA,0,5.298317366548036,"(5,6]"
2680,3597,a study to test combination treatments in patients with advanced gastric cancer,Recruiting,2,0,0,Advanced Gastric Cancer,drug or biologic,Early,600,All,Industry&Combos,1,0,0,2016,2016,1821,1,Phase 2,0,NA,0,6.396929655216146,"(6,7]"
1640,1803,phase 2 study to evaluate safety and efficacy of rm-131 administered to patients with chronic constipation,Completed,4,0,0,Constipation,drug or biologic,Early,48,All,Industry&Combos,1,0,0,2013,2013,549,1,Phase 2,2,safety/efficacy,2,3.871201010907891,"(3,4]"
870,913,a study of perioperative mfolfox6 plus pembrolizumab in patients with potentially resectable adenocarcinoma of the gastroesophageal junction (gej) and stomach,Withdrawn,7,0,0,Adenocarcinoma|Stomach Cancer,drug or biologic,Early,NA,All,AllOther,0,NA,0,2016,2017,730,0,Phase 2,1,NA,1,NA,NA
489,507,aquamin ® as an adjuvant intervention for ulcerative colitis,Recruiting,2,0,0,Ulcerative Colitis,drug or biologic,Early,40,All,AllOther,1,0,4,2019,2019,1362,1,Phase 2,3,NA,2,3.6888794541139363,"(3,4]"
2697,3617,a phase 2 study of ramucirumab (ly3009806) in participants with gastric or gastroesophageal junction (gej) cancer,Completed,4,1,1,Gastric Adenocarcinoma|Gastroesophageal Junction Adenocarcinoma,drug or biologic,Early,164,All,Industry&Combos,1,0,0,2015,2015,500,1,Phase 2,0,NA,0,5.099866427824199,"(5,6]"
2268,2821,efficacy and safety study of pbi-05204 in patients with stage iv metastatic pancreatic adenocarcinoma,Unknown status,8,0,0,Pancreatic Cancer,drug or biologic,Early,50,All,Industry&Combos,0,NA,0,2015,2015,610,0,Phase 2,1,safety/efficacy,1,3.912023005428146,"(3,4]"
1524,1656,"fish oil supplementation, nutrigenomics and colorectal cancer prevention",Completed,4,1,1,Colorectal Adenomatous Polyps,drug or biologic,Early,141,All,NIH&Combos,2,0,1,2012,2013,1421,1,Phase 2,4,NA,2,4.948759890378168,"(4,5]"
1875,2168,cabozantinib (xl-184) monotherapy for advanced cholangiocarcinoma,Completed,4,1,1,Bile Duct Cancer|Intrahepatic Cholangiocarcinoma|Cholangiocarcinoma of the Extrahepatic Bile Duct,drug or biologic,Early,19,All,Industry&Combos,0,NA,0,2013,2013,638,0,Phase 2,1,NA,1,2.9444389791664403,"(2,3]"
1448,1557,the effect of an antibiotic on the production of uremic toxins by the gut microbiome,Completed,4,1,1,End Stage Renal Disease,drug or biologic,Early,15,All,AllOther,3,0,0,2018,2017,264,3,Phase 2,2,NA,2,2.70805020110221,"(2,3]"
521,542,proton w/folfirinox-losartan for pancreatic cancer,"Active, not recruiting",1,1,1,Pancreatic Cancer,drug or biologic,Early,50,All,NIH&Combos,0,NA,0,2013,2013,1826,0,Phase 2,1,NA,1,3.912023005428146,"(3,4]"
442,454,pentoxifylline therapy in biliary atresia,Recruiting,2,0,0,Biliary Atresia,drug or biologic,Early,60,All,AllOther,0,NA,0,2013,2013,3287,0,Phase 2,1,NA,1,4.0943445622221,"(4,5]"
1555,1694,metronomic chemotherapy in advanced gastric cancer,Unknown status,8,0,0,Metastatic Gastric Cancer|Locally Advanced Gastric Cancer,drug or biologic,Early,40,All,AllOther,0,NA,0,2016,2015,1157,0,Phase 2,1,NA,1,3.6888794541139363,"(3,4]"
2636,3540,"a safety and efficacy study of a range of linaclotide doses administered orally to children ages 7-17 years, with irritable bowel syndrome with constipation",Terminated,5,1,1,Irritable Bowel Syndrome With Constipation,drug or biologic,Early,101,All,Industry&Combos,1,0,0,2015,2015,1398,1,Phase 2,4,safety/efficacy,2,4.61512051684126,"(4,5]"
902,947,bruog 295: adjuvant folfox-a for resected pancreatic cancer: a phase ii brown university oncology research group trial,"Active, not recruiting",1,0,0,Pancreatic Cancer,drug or biologic,Early,38,All,AllOther,0,NA,0,2013,2014,1998,0,Phase 2,1,NA,1,3.6375861597263857,"(3,4]"
2978,3993,phase 2b study of ngm282 extended treatment in patients with primary biliary cirrhosis,Completed,4,0,0,Primary Biliary Cirrhosis,drug or biologic,Early,36,All,Industry&Combos,1,0,0,2014,2014,641,1,Phase 2,4,NA,2,3.58351893845611,"(3,4]"
2829,3791,hyperbaric oxygen therapy for ulcerative colitis flares,Completed,4,0,0,"Colitis, Ulcerative",other,Others,39,All,AllOther,3,0,0,2018,2017,936,3,Others,0,NA,0,3.6635616461296463,"(3,4]"
1551,1690,phase ii trial of vandetanib in children and adults with wild-type gastrointestinal stromal tumors,Completed,4,1,1,GIST,drug or biologic,Early,9,All,NIH&Combos,1,1,0,2013,2013,872,1,Phase 2,0,NA,0,2.1972245773362196,"(2,3]"
390,400,ppis and fat absorption in cf and epi,Recruiting,2,0,0,Pancreatic Insufficiency|Cystic Fibrosis,drug or biologic,Early,24,All,Industry&Combos,3,0,0,2018,2018,998,3,Phase 2,4,NA,2,3.1780538303479458,"(3,4]"
1885,2183,study of orbec ® as monotherapy in the treatment of patients with upper gi symptoms caused by chronic graft versus host disease (gvhd),Terminated,5,1,1,Chronic Gastrointestinal Graft vs Host Disease,drug or biologic,Early,2,All,Industry&Combos,1,0,0,2013,2013,516,1,Phase 2,4,NA,2,0.6931471805599453,"(0,1]"
1469,1583,safety and efficacy of solithromycin in the treatment of nonalcoholic steatohepatitis without cirrhosis,Completed,4,0,0,Nonalcoholic Steatohepatitis,drug or biologic,Early,10,All,Industry&Combos,0,NA,0,2015,2015,423,0,Phase 2,1,safety/efficacy,1,2.302585092994046,"(2,3]"
2289,2869,autologous fecal therapy,Completed,4,1,1,Infectious Disease of Digestive Tract,drug or biologic,Early,10,All,AllOther,1,0,1,2014,2014,1736,1,Phase 2,1,NA,1,2.302585092994046,"(2,3]"
534,556,pembrolizumab and pelareorep in treating patients with advanced pancreatic cancer,"Active, not recruiting",1,1,1,Pancreatic Adenocarcinoma|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8,drug or biologic,Early,17,All,NIH&Combos,0,NA,0,2018,2018,400,0,Phase 2,1,NA,1,2.833213344056216,"(2,3]"
730,764,combination therapy for patients with untreated metastatic pancreatic ductal adenocarcinoma,"Active, not recruiting",1,0,0,Untreated Metastatic Pancreatic Ductal Adenocarcinoma,drug or biologic,Early,10,All,Industry&Combos,0,NA,0,2016,2016,2100,0,Phase 2,1,NA,1,2.302585092994046,"(2,3]"
1468,1582,"bevacizumab, fluorouracil, leucovorin calcium, and oxaliplatin before surgery in treating patients with stage ii-iii rectal cancer","Active, not recruiting",1,0,0,Mucinous Adenocarcinoma of the Rectum|Signet Ring Adenocarcinoma of the Rectum|Stage IIA Rectal Cancer|Stage IIB Rectal Cancer|Stage IIC Rectal Cancer|Stage IIIA Rectal Cancer|Stage IIIB Rectal Cancer|Stage IIIC Rectal Cancer,drug or biologic,Early,17,All,NIH&Combos,0,NA,0,2013,2013,2940,0,Phase 2,1,NA,1,2.833213344056216,"(2,3]"
582,606,study to evaluate bi-weekly dosing of gemcitabine plus nab-paclitaxel to treat metastatic pancreatic cancer,Terminated,5,1,1,Pancreatic Carcinoma Non-resectable|Stage IV Pancreatic Cancer,drug or biologic,Early,15,All,AllOther,0,NA,0,2013,2013,699,0,Phase 2,1,NA,1,2.70805020110221,"(2,3]"
480,498,"maintenance rucaparib in brca1, brca2 or palb2 mutated pancreatic cancer that has not progressed on platinum-based therapy","Active, not recruiting",1,0,0,Pancreatic Cancer,drug or biologic,Early,50,All,AllOther,0,NA,0,2017,2017,1461,0,Phase 2,1,NA,1,3.912023005428146,"(3,4]"
965,1016,safety and effectiveness study of cpi-613 and/or gemcitabine to treat metastatic pancreatic cancer,Withdrawn,7,0,0,Metastatic Pancreatic Adenocarcinoma,drug or biologic,Early,NA,All,Industry&Combos,1,1,0,2013,2014,1795,1,Phase 2,0,safety,0,NA,NA
512,533,palliative stereotactic radiation for pancreatic or periampullary adenocarcinoma,"Active, not recruiting",1,0,0,Pancreatic Cancer|Periampullary Adenocarcinoma,other,Others,120,All,AllOther,1,1,4,2013,2013,3317,1,Others,0,NA,0,4.787491742782046,"(4,5]"
26,26,a safety and efficacy trial of circumferential anal canal radiofrequency ablation for high-grade anal intraepithelial neoplasia using the barrxâ„¢ anorectal wand,Unknown status,8,0,0,"HSIL, High Grade Squamous Intraepithelial Lesions|Anal Cancer|HPV-Related Squamous Cell Carcinoma|Human Papilloma Virus|Human Papillomavirus Infection|Ain III",device,Others,70,All,AllOther,0,NA,0,2017,2017,730,0,Others,1,safety/efficacy,1,4.248495242049359,"(4,5]"
1317,1407,sequential melphalan for use with hepatic delivery system treatment followed by sorafenib in patients with unresectable hcc,Withdrawn,7,0,0,Hepatocellular Carcinoma (HCC),drug or biologic,Early,NA,All,Industry&Combos,0,NA,0,2015,2014,1157,0,Phase 2,1,NA,1,NA,NA
2370,3027,temozolomide (tmz) in advanced succinate dehydrogenase (sdh)-mutant/deficient gastrointestinal stromal tumor (gist),Recruiting,2,0,0,Gastrointestinal Stromal Tumors|Sdh|GIST|Cancer,drug or biologic,Early,23,All,AllOther,0,NA,0,2018,2018,1450,0,Phase 2,1,NA,1,3.1354942159291497,"(3,4]"
3146,4277,rollover study of cenicriviroc for the treatment of liver fibrosis in participants with nonalcoholic steatohepatitis,Terminated,5,0,0,Nonalcoholic Steatohepatitis|Liver Cirrhosis|Non-alcoholic Fatty Liver Disease,drug or biologic,Early,187,All,Industry&Combos,0,NA,0,2017,2017,1421,0,Phase 2,1,NA,1,5.231108616854587,"(5,6]"
951,1000,microbiota transfer therapy for adults with autism spectrum disorder (asd) who have gastrointestinal disorders,Recruiting,2,0,0,Autism Spectrum Disorder|Gastrointestinal Disorder,drug or biologic,Early,84,All,AllOther,1,0,0,2018,2018,1734,1,Phase 2,4,NA,2,4.430816798843313,"(4,5]"
2161,2605,probiotics in newly diagnosed t1d,"Active, not recruiting",1,0,0,Type 1 Diabetes|Type1diabetes|Type 1 Diabetes Mellitus,other,Others,60,All,AllOther,1,0,4,2019,2019,1035,1,Others,3,NA,2,4.0943445622221,"(4,5]"
2702,3623,folfiri or modified folfiri and veliparib as second line therapy in treating patients with metastatic pancreatic cancer,"Active, not recruiting",1,1,1,Metastatic Pancreatic Adenocarcinoma|Recurrent Pancreatic Carcinoma|Stage IV Pancreatic Cancer AJCC v6 and v7,drug or biologic,Early,123,All,NIH&Combos,1,0,0,2016,2016,972,1,Phase 2,0,NA,0,4.812184355372417,"(4,5]"
3186,4394,liver test study of using jkb-122 in autoimmune hepatitis (aih) patients who are refractory or intolerant to current therapies,Completed,4,0,0,Autoimmune Hepatitis,drug or biologic,Early,20,All,Industry&Combos,NA,NA,0,2015,2016,996,NA,Phase 2,0,NA,0,2.995732273553991,"(2,3]"
3697,6128,lower or standard dose regorafenib in treating patients with refractory metastatic colorectal cancer,"Active, not recruiting",1,1,1,Colon Adenocarcinoma|Rectal Adenocarcinoma|Stage III Colorectal Cancer AJCC v7|Stage IIIA Colorectal Cancer AJCC v7|Stage IIIB Colorectal Cancer AJCC v7|Stage IIIC Colorectal Cancer AJCC v7|Stage IV Colorectal Cancer AJCC v7|Stage IVA Colorectal Cancer AJCC v7|Stage IVB Colorectal Cancer AJCC v7,drug or biologic,Early,123,All,NIH&Combos,1,0,0,2015,2015,889,1,Phase 2,0,NA,0,4.812184355372417,"(4,5]"
3990,7549,expanding the pool in orthotopic heart transplantation,Recruiting,2,0,0,Hepatitis C|Heart Transplant|Cardiac Transplant,drug or biologic,Early,20,All,AllOther,1,1,4,2017,2017,2160,1,Phase 2,0,NA,0,2.995732273553991,"(2,3]"
3644,5770,safety and efficacy study of jnj-64304500 in participants with moderately to severely active crohn's disease,"Active, not recruiting",1,0,0,Crohn Disease,drug or biologic,Early,388,All,Industry&Combos,1,0,0,2016,2016,1568,1,Phase 2,2,safety/efficacy,2,5.961005339623274,"(5,6]"
3240,4548,bi 207127 / faldaprevir combination therapy in hepatic impairment (child-pugh b) patients with genotype 1b chronic hepatitis c infection: hcverso3,Completed,4,1,1,"Hepatitis C, Chronic",drug or biologic,Early,35,All,Industry&Combos,1,1,0,2013,2013,548,1,Phase 2,0,NA,0,3.5553480614894135,"(3,4]"
617,643,a phase 2 trial of regorafenib as a single agent in advanced and metastatic biliary tract carcinoma/cholangiocarcinoma patients who have failed first-line chemotherapy,Completed,4,1,1,Metastatic Biliary Tract Carcinoma,drug or biologic,Early,43,All,Industry&Combos,0,NA,0,2014,2014,1467,0,Phase 2,1,NA,1,3.7612001156935624,"(3,4]"
2943,3945,olorinab in ibs-c and ibs-d,Terminated,5,0,0,Irritable Bowel Syndrome,drug or biologic,Early,273,All,Industry&Combos,1,0,0,2019,2019,645,1,Phase 2,4,NA,2,5.60947179518496,"(5,6]"
2723,3648,safety and efficacy of the elad system (elad) to treat acute liver failure (alf),Terminated,5,1,1,Acute Liver Failure|Fulminant Hepatic Failure|Primary Graft Non-Function|Surgically-Induced Liver Failure,drug or biologic,Early,8,All,Industry&Combos,0,NA,0,2013,2014,335,0,Phase 2,1,safety/efficacy,1,2.0794415416798357,"(2,3]"
2304,2895,omega 3 fatty acids in colorectal cancer (crc) prevention in patients with lynch syndrome (colyne),Recruiting,2,0,0,Colorectal Cancer|Lynch Syndrome,drug or biologic,Early,34,All,AllOther,0,NA,0,2019,2019,1456,0,Phase 2,1,NA,1,3.5263605246161616,"(3,4]"
2491,3294,a study of abc294640 (yeliva  ®) alone and in combination with hydroxychloroquine sulfate in treatment of patients with advanced cholangiocarcinoma,Recruiting,2,0,0,"Cholangiocarcinoma|Cholangiocarcinoma Non-resectable|Cholangiocarcinoma, Perihilar|Cholangiocarcinoma, Extrahepatic|Cholangiocarcinoma, Intrahepatic",drug or biologic,Early,105,All,Industry&Combos,0,NA,0,2017,2018,1730,0,Phase 2,1,NA,1,4.653960350157523,"(4,5]"
3059,4114,volixibat (shp626) in the treatment of adults with nonalcoholic steatohepatitis (nash),Terminated,5,1,1,Non-Alcoholic Steatohepatitis,drug or biologic,Early,197,All,Industry&Combos,1,0,0,2016,2016,641,1,Phase 2,2,NA,2,5.2832037287379885,"(5,6]"
3888,7169,pembrolizumab (keytruda) in advanced hepatocellular carcinoma,Completed,4,1,1,Hepatocellular Carcinoma,drug or biologic,Early,29,All,Industry&Combos,0,NA,0,2016,2016,1283,0,Phase 2,1,NA,1,3.367295829986474,"(3,4]"
1154,1227,everolimus post orthotopic liver transplant,Unknown status,8,0,0,Orthotopic Liver Transplant,drug or biologic,Early,50,All,AllOther,1,0,0,2013,2013,1704,1,Phase 2,0,NA,0,3.912023005428146,"(3,4]"
1617,1772,"pembrolizumab, bevacizumab, and cyclophosphamide in treating patients with recurrent ovarian, fallopian tube, or primary peritoneal cancer","Active, not recruiting",1,1,1,Fallopian Tube Clear Cell Adenocarcinoma|Fallopian Tube Endometrioid Adenocarcinoma|Fallopian Tube Mucinous Adenocarcinoma|Fallopian Tube Serous Adenocarcinoma|Ovarian Clear Cell Adenocarcinoma|Ovarian Endometrioid Adenocarcinoma|Ovarian Mucinous Adenocarcinoma|Ovarian Serous Adenocarcinoma|Primary Peritoneal Serous Adenocarcinoma|Recurrent Fallopian Tube Carcinoma|Recurrent Ovarian Carcinoma|Recurrent Primary Peritoneal Carcinoma|Undifferentiated Fallopian Tube Carcinoma|Undifferentiated Ovarian Carcinoma,drug or biologic,Early,40,Female,NIH&Combos,0,NA,0,2016,2016,1029,0,Phase 2,1,NA,1,3.6888794541139363,"(3,4]"
2973,3987,a study to evaluate the efficacy and safety of the investigational drug pf-03446962 (a monoclonal antibody with antiangiogenic features) in combination with best supportive care versus placebo plus best supportive care in patients affected by recurrent liver cancer,Terminated,5,1,1,"Carcinoma, Hepatocellular",drug or biologic,Early,3,All,Industry&Combos,1,0,0,2013,2013,273,1,Phase 2,4,safety/efficacy,2,1.0986122886681098,"(1,2]"
562,585,nab-paclitaxel and gemcitabine hydrochloride followed by radiation therapy before surgery in treating patients with pancreatic cancer that can be removed by surgery,"Active, not recruiting",1,1,1,Pancreatic Adenocarcinoma|Resectable Pancreatic Carcinoma,drug or biologic,Early,20,All,Industry&Combos,0,NA,0,2015,2016,1391,0,Phase 2,1,NA,1,2.995732273553991,"(2,3]"
3022,4059,long-term safety with vedolizumab intravenous (iv) in pediatric participants with ulcerative colitis (uc) or crohn's disease (cd),"Active, not recruiting",1,0,0,Ulcerative Colitis|Crohn's Disease,drug or biologic,Early,80,All,Industry&Combos,1,0,0,2017,2018,2491,1,Phase 2,2,safety,2,4.382026634673881,"(4,5]"
3512,5341,study of dovitinib and biomarkers in advanced non-small cell lung cancer or advanced colorectal cancer,Completed,4,1,1,Non-Small Cell Lung Cancer|Colorectal Cancer,drug or biologic,Early,10,All,Industry&Combos,0,NA,0,2012,2013,1064,0,Phase 2,1,NA,1,2.302585092994046,"(2,3]"
1531,1663,"impact of fructose on metabolism, energy homeostasis and mr biomarkers in nafld",Recruiting,2,0,0,Nonalcoholic Fatty Liver Disease (NAFLD),drug or biologic,Early,100,All,AllOther,1,1,4,2013,2013,2861,1,Phase 2,0,NA,0,4.605170185988092,"(4,5]"
3398,5110,a safety and efficacy study of mycophenolate mofetil and rilonacept in patients with alcoholic hepatitis,Completed,4,1,1,Alcoholic Hepatitis,drug or biologic,Early,4,All,NA,1,0,0,2013,2014,487,1,Phase 2,0,safety/efficacy,0,1.3862943611198906,"(1,2]"
3879,7151,abemaciclib and nivolumab for subjects with hepatocellular carcinoma,"Active, not recruiting",1,0,0,Hepatocellular Carcinoma,drug or biologic,Early,15,All,AllOther,0,NA,0,2018,2019,671,0,Phase 2,1,NA,1,2.70805020110221,"(2,3]"
2719,3644,an open-label study to evaluate the long-term safety and tolerability of lum001 in patients with primary biliary cirrhosis,Withdrawn,7,0,0,Primary Biliary Cirrhosis,drug or biologic,Early,NA,All,Industry&Combos,0,NA,0,2014,2015,945,0,Phase 2,1,safety,1,NA,NA
3600,5671,a study of ridinilazole (smt19969) compared with fidaxomicin for the treatment of clostridium difficile infection (cdi),Completed,4,0,0,Clostridium Difficile Infection,drug or biologic,Early,27,All,Industry&Combos,1,0,0,2016,2014,609,1,Phase 2,0,NA,0,3.295836866004329,"(3,4]"
3171,4342,open label study to evaluate safety and efficacy of lum001 in patients with primary sclerosing cholangitis,Completed,4,1,1,Primary Sclerosing Cholangitis (PSC),drug or biologic,Early,27,All,Industry&Combos,0,NA,0,2014,2014,702,0,Phase 2,1,safety/efficacy,1,3.295836866004329,"(3,4]"
662,689,a phase ii study of pioglitazone for patients with cancer of the pancreas,Completed,4,1,1,Cancer of the Pancreas,drug or biologic,Early,14,All,AllOther,0,1,0,2013,2013,1603,0,Phase 2,1,NA,1,2.6390573296152584,"(2,3]"
1365,1460,efficacy of ferric carboxymaltose in gastrointestinal stromal tumor (gist) patients with iron deficiency anemia (ida) receiving systemic therapy,Terminated,5,1,1,Malignant Neoplasms of Mesothelial and Soft Tissue|Gastrointestinal Stromal Tumor With Neurogenic Differentiation,drug or biologic,Early,3,All,Industry&Combos,1,0,4,2016,2017,443,1,Phase 2,0,efficacy,0,1.0986122886681098,"(1,2]"
2131,2557,sorafenib tosylate and yttrium y 90 glass microspheres in treating patients with liver cancer that cannot be removed by surgery,Completed,4,0,0,Advanced Adult Hepatocellular Carcinoma|BCLC Stage C Hepatocellular Carcinoma|Recurrent Adult Hepatocellular Carcinoma|Stage III Hepatocellular Carcinoma AJCC v7|Stage IIIA Hepatocellular Carcinoma AJCC v7|Stage IIIB Hepatocellular Carcinoma AJCC v7|Stage IIIC Hepatocellular Carcinoma AJCC v7|Stage IV Hepatocellular Carcinoma AJCC v7|Stage IVA Hepatocellular Carcinoma AJCC v7|Stage IVB Hepatocellular Carcinoma AJCC v7|Unresectable Hepatocellular Carcinoma,drug or biologic,Early,40,All,NIH&Combos,0,NA,0,2013,2013,2645,0,Phase 2,1,NA,1,3.6888794541139363,"(3,4]"
2897,3885,trial of linaclotide in patients with irritable bowel syndrome with constipation (ibs-c),Completed,4,1,1,Irritable Bowel Syndrome With Constipation,drug or biologic,Early,759,All,Industry&Combos,1,0,0,2015,2015,344,1,Phase 2,4,NA,2,6.63200177739563,"(6,7]"
3822,6809,ketamine for endoscopic sedation in outpatient adult endoscopy.,Completed,4,0,0,Administration and Dosage of Ketamine|Endoscopic Sedation,drug or biologic,Early,66,All,AllOther,1,0,0,2018,2018,575,1,Phase 2,1,NA,1,4.189654742026425,"(4,5]"
3011,4042,a study of incmga00012 in squamous carcinoma of the anal canal following platinum-based chemotherapy (pod1um-202),"Active, not recruiting",1,0,0,Squamous Cell Carcinoma of Anal Canal,drug or biologic,Early,94,All,Industry&Combos,0,NA,0,2018,2018,607,0,Phase 2,1,NA,1,4.543294782270004,"(4,5]"
2628,3529,"a study of mm-111 and paclitaxel with trastuzumab in patients her2 positive carcinomas of the distal esophagus, gastroesophageal (ge) junction and stomach",Terminated,5,1,1,HER-2 Gene Amplification|Esophagus Cancer|Gastroesophageal Junction Cancer|Stomach Cancer,drug or biologic,Early,84,All,Industry&Combos,1,0,0,2013,2013,911,1,Phase 2,0,NA,0,4.430816798843313,"(4,5]"
3895,7189,"efficacy, safety, and tolerability study of oral full-spectrum microbiotatm (cp101) in subjects with recurrent c. diff",Completed,4,0,0,Clostridium Difficile Infection Recurrence,drug or biologic,Early,206,All,Industry&Combos,1,0,1,2017,2017,1026,1,Phase 2,4,safety/efficacy,2,5.327876168789581,"(5,6]"
3652,5801,"evaluation of efficacy and safety of medi2070 in patients with active, moderate-to-severe crohn's disease.",Completed,4,1,1,Crohn's Disease,drug or biologic,Early,121,All,Industry&Combos,1,0,0,2012,2013,473,1,Phase 2,4,safety/efficacy,2,4.795790545596741,"(4,5]"
3367,4933,study of ngm282 in patients with nonalcoholic steatohepatitis (nash),Completed,4,0,0,Nonalcoholic Steatohepatitis (NASH),drug or biologic,Early,254,All,Industry&Combos,1,0,0,2015,2015,1589,1,Phase 2,3,NA,2,5.537334267018537,"(5,6]"
1822,2073,evaluating an amino acid based medical food w/ diarrhea in carcinoid syndrome & other nets,Recruiting,2,0,0,Neuroendocrine Tumors|Carcinoid Tumor of GI System|Diarrhea|Carcinoid Syndrome,other,Others,30,All,Industry&Combos,1,1,4,2018,2018,1334,1,Others,0,NA,0,3.4011973816621555,"(3,4]"
2658,3565,a study of rucaparib in patients with pancreatic cancer and a known deleterious brca mutation,Completed,4,0,0,Pancreatic Cancer|Pancreatic Ductal Adenocarcinoma,drug or biologic,Early,19,All,Industry&Combos,0,NA,0,2014,2014,731,0,Phase 2,1,NA,1,2.9444389791664403,"(2,3]"
586,612,metabolomic and bh3 profiling of esophageal cancers: identification of novel assessment methods of treatment response for precision therapy,Terminated,5,1,1,Esophageal Cancer|Esophageal Adenocarcinoma|Esophageal Squamous Cell Cancer|Esophageal Neoplasms|Squamous Cell Carcinoma,procedure,Others,2,All,NIH&Combos,0,NA,0,2017,2017,269,0,Others,1,NA,1,0.6931471805599453,"(0,1]"
2333,2953,a ph 2 study of fosbretabulin in subjects w pancreatic or gastrointestinal neuroendocrine tumors w elevated biomarkers,Completed,4,1,1,Neuroendocrine Tumors,drug or biologic,Early,18,All,Industry&Combos,0,NA,0,2014,2014,639,0,Phase 2,1,NA,1,2.8903717578961645,"(2,3]"
4115,8655,phase ii trial of nab-paclitaxel and gemcitabine for first-line treatment of patients with cholangiocarcinoma,Completed,4,1,1,Cholangiocarcinoma,drug or biologic,Early,74,All,Industry&Combos,0,NA,0,2014,2014,655,0,Phase 2,1,NA,1,4.30406509320417,"(4,5]"
3274,4613,a phase ii study of abc294640 as monotherapy in patients with advanced hepatocellular carcinoma,Withdrawn,7,0,0,"Carcinoma, Hepatocellular",drug or biologic,Early,NA,All,IndustryNIHPartnership,0,NA,0,2016,2019,1461,0,Phase 2,1,NA,1,NA,NA
3532,5387,study of pembrolizumab (mk-3475) in participants with advanced solid tumors (mk-3475-158/keynote-158),Recruiting,2,0,0,Advanced Cancer|Anal Carcinoma|Anal Cancer|Biliary Cancer|Cholangiocarcinoma|Bile Duct Cancer|Neuroendocrine Tumor|Carcinoid Tumor|Endometrial Carcinoma|Endometrial Cancer|Cervical Carcinoma|Cervical Cancer|Vulvar Carcinoma|Vulvar Cancer|Small Cell Lung Carcinoma|Small Cell Lung Cancer (SCLC)|Mesothelioma|Thyroid Carcinoma|Thyroid Cancer|Salivary Gland Carcinoma|Salivary Gland Cancer|Salivary Cancer|Parotid Gland Cancer|Advanced Solid Tumors|Colorectal Carcinoma,drug or biologic,Early,1595,All,Industry&Combos,1,1,0,2015,2015,3835,1,Phase 2,0,NA,0,7.374629015218945,"(7,13]"
3910,7279,study of cdi-31244 in combination with sofosbuvir (sof) and velpatasvir (vel),Completed,4,1,1,Chronic Hepatitis C,drug or biologic,Early,12,All,Industry&Combos,0,NA,0,2018,2018,196,0,Phase 2,1,NA,1,2.4849066497880004,"(2,3]"
791,828,effects of folfirinox and stereotactic body radiation therapy for advanced pancreatic cancer,Recruiting,2,0,0,Pancreatic Cancer Non-resectable,drug or biologic,Early,28,All,AllOther,0,NA,0,2014,2014,4018,0,Phase 2,1,NA,1,3.332204510175204,"(3,4]"
2665,3574,m7824 monotherapy in locally advanced or metastatic second line (2l) biliary tract cancer (cholangiocarcinoma and gallbladder cancer),"Active, not recruiting",1,0,0,Biliary Tract Cancer|Cholangiocarcinoma|Gallbladder Cancer,drug or biologic,Early,159,All,Industry&Combos,0,NA,0,2019,2019,594,0,Phase 2,1,NA,1,5.0689042022202315,"(5,6]"
3595,5649,"safety, tolerability, and efficacy of monotherapy and combination regimens in adults with nonalcoholic steatohepatitis (nash)",Completed,4,0,0,Nonalcoholic Steatohepatitis,drug or biologic,Early,109,All,Industry&Combos,1,0,0,2019,2019,350,1,Phase 2,0,safety/efficacy,0,4.6913478822291435,"(4,5]"
1942,2272,immunotherapy and sbrt study in borderline resectable pancreatic cancer,Terminated,5,0,0,Pancreatic Cancer|Pancreatic Carcinoma Non-resectable,drug or biologic,Early,10,All,Industry&Combos,0,NA,0,2015,2015,456,0,Phase 2,1,NA,1,2.302585092994046,"(2,3]"
